player_name,gb_actual_BA_23,gb_xBA_23,gb_luck_23,gb_count_23,gb_actual_BA_22,gb_xBA_22,gb_luck_22,gb_count_22,gb_luck_increase,ld_actual_BA_23,ld_xBA_23,ld_luck_23,ld_count_23,ld_actual_BA_22,ld_xBA_22,ld_luck_22,ld_count_22,ld_luck_increase,total_luck_increase
"Marsh, Brandon",0.356,0.238,0.118,45,0.383,0.254,0.129,47,-0.01100000000000001,0.615,0.609,0.006,26,0.545,0.597,-0.051,22,0.056999999999999995,0.012314285714285708
"Marte, Ketel",0.253,0.228,0.025,79,0.27,0.268,0.002,63,0.023,0.718,0.644,0.074,39,0.633,0.558,0.075,30,-0.0010000000000000009,0.01515165876777251
"Marte, Starling",0.243,0.193,0.05,70,0.273,0.204,0.068,77,-0.018000000000000002,0.586,0.682,-0.096,29,0.7,0.626,0.074,30,-0.16999999999999998,-0.06153398058252427
"Martinez, J.D.",0.225,0.31,-0.085,40,0.349,0.259,0.089,43,-0.174,0.667,0.743,-0.077,30,0.756,0.678,0.079,41,-0.156,-0.16570129870129868
"Mateo, Jorge",0.25,0.227,0.023,56,0.189,0.215,-0.026,37,0.049,0.625,0.64,-0.015,24,0.528,0.583,-0.055,36,0.04,0.04547058823529412
"McCutchen, Andrew",0.26,0.237,0.023,50,0.265,0.229,0.037,49,-0.013999999999999999,0.677,0.656,0.021,31,0.52,0.683,-0.163,25,0.184,0.05753548387096774
"McMahon, Ryan",0.255,0.261,-0.006,55,0.217,0.231,-0.014,46,0.008,0.71,0.63,0.079,31,0.667,0.666,0.001,36,0.078,0.035916666666666666
"McNeil, Jeff",0.263,0.216,0.047,76,0.311,0.224,0.087,61,-0.039999999999999994,0.653,0.644,0.01,49,0.667,0.621,0.046,42,-0.036,-0.03840350877192982
"Mejía, Francisco",0.217,0.246,-0.029,23,0.222,0.275,-0.053,18,0.023999999999999997,0.625,0.577,0.048,16,0.5,0.505,-0.005,16,0.053,0.036712328767123284
"Merrifield, Whit",0.255,0.184,0.071,51,0.254,0.23,0.024,63,0.04699999999999999,0.653,0.58,0.073,49,0.4,0.57,-0.17,40,0.243,0.13293103448275861
"Miller, Owen",0.295,0.227,0.069,44,0.279,0.263,0.016,43,0.053000000000000005,0.818,0.614,0.204,22,0.588,0.575,0.013,34,0.19099999999999998,0.10704195804195804
"Mountcastle, Ryan",0.254,0.243,0.011,67,0.195,0.264,-0.069,41,0.08,0.436,0.626,-0.19,39,0.684,0.698,-0.014,38,-0.176,-0.026551351351351345
"Moustakas, Mike",0.312,0.253,0.06,16,0.25,0.21,0.04,28,0.019999999999999997,0.688,0.546,0.142,16,0.706,0.585,0.121,17,0.02099999999999999,0.02042857142857142
"Mullins, Cedric",0.281,0.285,-0.005,57,0.27,0.249,0.021,63,-0.026000000000000002,0.806,0.663,0.143,31,0.562,0.618,-0.056,32,0.19899999999999998,0.05145901639344261
"Murphy, Sean",0.286,0.289,-0.003,49,0.213,0.22,-0.007,47,0.004,0.606,0.68,-0.074,33,0.6,0.596,0.004,30,-0.078,-0.02849056603773585
"Myers, Wil",0.171,0.221,-0.05,41,0.316,0.217,0.098,38,-0.14800000000000002,0.812,0.684,0.128,16,0.6,0.639,-0.039,20,0.167,-0.04939130434782609
